ID,Data_Text,Result
1,ตรวจสุขภาพครับ,ตรวจสุขภาพ
2,ตรวจสุขภาพค่ะ,ตรวจสุขภาพ
3,ตรวจสุขภาพคับ,ตรวจสุขภาพ
4,ตรวจสุขภาพนะจ๊ะ,ตรวจสุขภาพ
5,ตรวจสุขภาพจ้า,ตรวจสุขภาพ
6,ตรวจสุขภาพจ๊ะ,ตรวจสุขภาพ
7,ตรวจสุขภาพ,ตรวจสุขภาพ
8,ตรวจร่างกายครับ,ตรวจสุขภาพ
9,ตรวจร่างกายค่ะ,ตรวจสุขภาพ
10,ตรวจร่างกายคับ,ตรวจสุขภาพ
11,ตรวจร่างกายนะจ๊ะ,ตรวจสุขภาพ
12,ตรวจร่างกายจ้า,ตรวจสุขภาพ
13,ตรวจร่างกายจ๊ะ,ตรวจสุขภาพ
14,ตรวจร่างกาย,ตรวจสุขภาพ
15,ตรวจสุขภาพร่างกายครับ,ตรวจสุขภาพ
16,ตรวจสุขภาพร่างกายค่ะ,ตรวจสุขภาพ
17,ตรวจสุขภาพร่างกายคับ,ตรวจสุขภาพ
18,ตรวจสุขภาพร่างกายนะจ๊ะ,ตรวจสุขภาพ
19,ตรวจสุขภาพร่างกายจ้า,ตรวจสุขภาพ
20,ตรวจสุขภาพร่างกายจ๊ะ,ตรวจสุขภาพ
21,ตรวจสุขภาพร่างกาย,ตรวจสุขภาพ
22,ตรวจตัวครับ,ตรวจสุขภาพ
23,ตรวจตัวค่ะ,ตรวจสุขภาพ
24,ตรวจตัวคับ,ตรวจสุขภาพ
25,ตรวจตัวนะจ๊ะ,ตรวจสุขภาพ
26,ตรวจตัวจ้า,ตรวจสุขภาพ
27,ตรวจตัวจ๊ะ,ตรวจสุขภาพ
28,ตรวจตัว,ตรวจสุขภาพ
29,ตรวจการทำงานในร่างกายครับ,ตรวจสุขภาพ
30,ตรวจการทำงานในร่างกายค่ะ,ตรวจสุขภาพ
31,ตรวจการทำงานในร่างกายคับ,ตรวจสุขภาพ
32,ตรวจการทำงานในร่างกายนะจ๊ะ,ตรวจสุขภาพ
33,ตรวจการทำงานในร่างกายจ้า,ตรวจสุขภาพ
34,ตรวจการทำงานในร่างกายจ๊ะ,ตรวจสุขภาพ
